Country,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Korea,2025-01-01 00:00:00,2025-01-01 00:00:00,81990.0
Korea,2025-01-01 01:00:00,2025-01-01 01:00:00,78610.0
Korea,2025-01-01 02:00:00,2025-01-01 02:00:00,78610.0
Korea,2025-01-01 03:00:00,2025-01-01 03:00:00,78610.0
Korea,2025-01-01 04:00:00,2025-01-01 04:00:00,78610.0
Korea,2025-01-01 05:00:00,2025-01-01 05:00:00,78610.0
Korea,2025-01-01 06:00:00,2025-01-01 06:00:00,79740.0
Korea,2025-01-01 07:00:00,2025-01-01 07:00:00,79740.0
Korea,2025-01-01 08:00:00,2025-01-01 08:00:00,77320.0
Korea,2025-01-01 09:00:00,2025-01-01 09:00:00,76000.0
Korea,2025-01-01 10:00:00,2025-01-01 10:00:00,71200.0
Korea,2025-01-01 11:00:00,2025-01-01 11:00:00,71200.0
Korea,2025-01-01 12:00:00,2025-01-01 12:00:00,0.0
Korea,2025-01-01 13:00:00,2025-01-01 13:00:00,6850.0
Korea,2025-01-01 14:00:00,2025-01-01 14:00:00,71200.0
Korea,2025-01-01 15:00:00,2025-01-01 15:00:00,71330.0
Korea,2025-01-01 16:00:00,2025-01-01 16:00:00,84920.0
Korea,2025-01-01 17:00:00,2025-01-01 17:00:00,96780.0
Korea,2025-01-01 18:00:00,2025-01-01 18:00:00,96780.0
Korea,2025-01-01 19:00:00,2025-01-01 19:00:00,97000.0
Korea,2025-01-01 20:00:00,2025-01-01 20:00:00,97020.0
Korea,2025-01-01 21:00:00,2025-01-01 21:00:00,97630.0
Korea,2025-01-01 22:00:00,2025-01-01 22:00:00,97630.0
Korea,2025-01-01 23:00:00,2025-01-01 23:00:00,97080.0
Korea,2025-01-02 00:00:00,2025-01-02 00:00:00,84810.0
Korea,2025-01-02 01:00:00,2025-01-02 01:00:00,80830.0
Korea,2025-01-02 02:00:00,2025-01-02 02:00:00,80830.0
Korea,2025-01-02 03:00:00,2025-01-02 03:00:00,80830.0
Korea,2025-01-02 04:00:00,2025-01-02 04:00:00,80830.0
Korea,2025-01-02 05:00:00,2025-01-02 05:00:00,80830.0
Korea,2025-01-02 06:00:00,2025-01-02 06:00:00,87520.0
Korea,2025-01-02 07:00:00,2025-01-02 07:00:00,97700.0
Korea,2025-01-02 08:00:00,2025-01-02 08:00:00,128320.0
Korea,2025-01-02 09:00:00,2025-01-02 09:00:00,151160.0
Korea,2025-01-02 10:00:00,2025-01-02 10:00:00,157970.0
Korea,2025-01-02 11:00:00,2025-01-02 11:00:00,134120.0
Korea,2025-01-02 12:00:00,2025-01-02 12:00:00,133990.0
Korea,2025-01-02 13:00:00,2025-01-02 13:00:00,133910.0
Korea,2025-01-02 14:00:00,2025-01-02 14:00:00,133780.0
Korea,2025-01-02 15:00:00,2025-01-02 15:00:00,138860.0
Korea,2025-01-02 16:00:00,2025-01-02 16:00:00,133910.0
Korea,2025-01-02 17:00:00,2025-01-02 17:00:00,133990.0
Korea,2025-01-02 18:00:00,2025-01-02 18:00:00,128320.0
Korea,2025-01-02 19:00:00,2025-01-02 19:00:00,115580.0
Korea,2025-01-02 20:00:00,2025-01-02 20:00:00,113770.0
Korea,2025-01-02 21:00:00,2025-01-02 21:00:00,103230.0
Korea,2025-01-02 22:00:00,2025-01-02 22:00:00,102260.0
Korea,2025-01-02 23:00:00,2025-01-02 23:00:00,96870.0
Korea,2025-01-03 00:00:00,2025-01-03 00:00:00,84690.0
Korea,2025-01-03 01:00:00,2025-01-03 01:00:00,81320.0
Korea,2025-01-03 02:00:00,2025-01-03 02:00:00,81060.0
Korea,2025-01-03 03:00:00,2025-01-03 03:00:00,81060.0
Korea,2025-01-03 04:00:00,2025-01-03 04:00:00,81060.0
Korea,2025-01-03 05:00:00,2025-01-03 05:00:00,81060.0
Korea,2025-01-03 06:00:00,2025-01-03 06:00:00,87470.0
Korea,2025-01-03 07:00:00,2025-01-03 07:00:00,115290.0
Korea,2025-01-03 08:00:00,2025-01-03 08:00:00,138490.0
Korea,2025-01-03 09:00:00,2025-01-03 09:00:00,166560.0
Korea,2025-01-03 10:00:00,2025-01-03 10:00:00,155470.0
Korea,2025-01-03 11:00:00,2025-01-03 11:00:00,146000.0
Korea,2025-01-03 12:00:00,2025-01-03 12:00:00,134160.0
Korea,2025-01-03 13:00:00,2025-01-03 13:00:00,134040.0
Korea,2025-01-03 14:00:00,2025-01-03 14:00:00,133950.0
Korea,2025-01-03 15:00:00,2025-01-03 15:00:00,133950.0
Korea,2025-01-03 16:00:00,2025-01-03 16:00:00,132190.0
Korea,2025-01-03 17:00:00,2025-01-03 17:00:00,128320.0
Korea,2025-01-03 18:00:00,2025-01-03 18:00:00,128320.0
Korea,2025-01-03 19:00:00,2025-01-03 19:00:00,128320.0
Korea,2025-01-03 20:00:00,2025-01-03 20:00:00,103380.0
Korea,2025-01-03 21:00:00,2025-01-03 21:00:00,102210.0
Korea,2025-01-03 22:00:00,2025-01-03 22:00:00,88960.0
Korea,2025-01-03 23:00:00,2025-01-03 23:00:00,88960.0
Korea,2025-01-04 00:00:00,2025-01-04 00:00:00,97770.0
Korea,2025-01-04 01:00:00,2025-01-04 01:00:00,81760.0
Korea,2025-01-04 02:00:00,2025-01-04 02:00:00,81120.0
Korea,2025-01-04 03:00:00,2025-01-04 03:00:00,81120.0
Korea,2025-01-04 04:00:00,2025-01-04 04:00:00,81120.0
Korea,2025-01-04 05:00:00,2025-01-04 05:00:00,81120.0
Korea,2025-01-04 06:00:00,2025-01-04 06:00:00,97370.0
Korea,2025-01-04 07:00:00,2025-01-04 07:00:00,98470.0
Korea,2025-01-04 08:00:00,2025-01-04 08:00:00,98780.0
Korea,2025-01-04 09:00:00,2025-01-04 09:00:00,119650.0
Korea,2025-01-04 10:00:00,2025-01-04 10:00:00,119650.0
Korea,2025-01-04 11:00:00,2025-01-04 11:00:00,98160.0
Korea,2025-01-04 12:00:00,2025-01-04 12:00:00,0.0
Korea,2025-01-04 13:00:00,2025-01-04 13:00:00,0.0
Korea,2025-01-04 14:00:00,2025-01-04 14:00:00,97980.0
Korea,2025-01-04 15:00:00,2025-01-04 15:00:00,97940.0
Korea,2025-01-04 16:00:00,2025-01-04 16:00:00,97940.0
Korea,2025-01-04 17:00:00,2025-01-04 17:00:00,98780.0
Korea,2025-01-04 18:00:00,2025-01-04 18:00:00,98680.0
Korea,2025-01-04 19:00:00,2025-01-04 19:00:00,98070.0
Korea,2025-01-04 20:00:00,2025-01-04 20:00:00,98780.0
Korea,2025-01-04 21:00:00,2025-01-04 21:00:00,98780.0
Korea,2025-01-04 22:00:00,2025-01-04 22:00:00,97370.0
Korea,2025-01-04 23:00:00,2025-01-04 23:00:00,97690.0
Korea,2025-01-05 00:00:00,2025-01-05 00:00:00,86970.0
Korea,2025-01-05 01:00:00,2025-01-05 01:00:00,78200.0
Korea,2025-01-05 02:00:00,2025-01-05 02:00:00,77070.0
Korea,2025-01-05 03:00:00,2025-01-05 03:00:00,77070.0
Korea,2025-01-05 04:00:00,2025-01-05 04:00:00,77070.0
Korea,2025-01-05 05:00:00,2025-01-05 05:00:00,77070.0
Korea,2025-01-05 06:00:00,2025-01-05 06:00:00,77510.0
Korea,2025-01-05 07:00:00,2025-01-05 07:00:00,77510.0
Korea,2025-01-05 08:00:00,2025-01-05 08:00:00,79210.0
Korea,2025-01-05 09:00:00,2025-01-05 09:00:00,80050.0
Korea,2025-01-05 10:00:00,2025-01-05 10:00:00,83220.0
Korea,2025-01-05 11:00:00,2025-01-05 11:00:00,83160.0
Korea,2025-01-05 12:00:00,2025-01-05 12:00:00,83160.0
Korea,2025-01-05 13:00:00,2025-01-05 13:00:00,83590.0
Korea,2025-01-05 14:00:00,2025-01-05 14:00:00,83590.0
Korea,2025-01-05 15:00:00,2025-01-05 15:00:00,88850.0
Korea,2025-01-05 16:00:00,2025-01-05 16:00:00,87710.0
Korea,2025-01-05 17:00:00,2025-01-05 17:00:00,88960.0
Korea,2025-01-05 18:00:00,2025-01-05 18:00:00,88960.0
Korea,2025-01-05 19:00:00,2025-01-05 19:00:00,88960.0
Korea,2025-01-05 20:00:00,2025-01-05 20:00:00,88960.0
Korea,2025-01-05 21:00:00,2025-01-05 21:00:00,88390.0
Korea,2025-01-05 22:00:00,2025-01-05 22:00:00,88390.0
Korea,2025-01-05 23:00:00,2025-01-05 23:00:00,88960.0
Korea,2025-01-06 00:00:00,2025-01-06 00:00:00,77420.0
Korea,2025-01-06 01:00:00,2025-01-06 01:00:00,76170.0
Korea,2025-01-06 02:00:00,2025-01-06 02:00:00,76170.0
Korea,2025-01-06 03:00:00,2025-01-06 03:00:00,75750.0
Korea,2025-01-06 04:00:00,2025-01-06 04:00:00,76170.0
Korea,2025-01-06 05:00:00,2025-01-06 05:00:00,76170.0
Korea,2025-01-06 06:00:00,2025-01-06 06:00:00,78810.0
Korea,2025-01-06 07:00:00,2025-01-06 07:00:00,97660.0
Korea,2025-01-06 08:00:00,2025-01-06 08:00:00,128090.0
Korea,2025-01-06 09:00:00,2025-01-06 09:00:00,136720.0
Korea,2025-01-06 10:00:00,2025-01-06 10:00:00,128400.0
Korea,2025-01-06 11:00:00,2025-01-06 11:00:00,128090.0
Korea,2025-01-06 12:00:00,2025-01-06 12:00:00,127470.0
Korea,2025-01-06 13:00:00,2025-01-06 13:00:00,127470.0
Korea,2025-01-06 14:00:00,2025-01-06 14:00:00,122700.0
